"last_name, first_name","player_id","year","player_age","ab","pa","hit","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_caught_stealing","r_total_stolen_base","b_game","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","popups_percent","sprint_speed"
"Profar, Jurickson","595777","2022","29","575","658","140","103","73",15.7,11.1,".243",".391",".331","0.722","1","5","152","87.5","12.9",34.7,4,4.6,34.3,"97.859468559","92.98708518",18.8,43.6,42.1,32.6,25.3,6.7,"26.6"
"Báez, Javier","595879","2022","29","555","590","132","147","26",24.9,4.4,".238",".393",".278","0.671","2","9","144","87.9","9.6",29.7,8,4.9,38,"99.689131182","93.890376232",35.8,55.8,39.9,34.8,25.3,6.1,"27.9"
"Cave, Jake","595909","2022","29","164","177","35","49","11",27.7,6.2,".213",".384",".260","0.644","0","2","54","90.7","14.4",38.5,10.3,9.4,42.7,"99.526718814","94.448232906",35,50.7,24.8,49.6,25.6,1.7,"28.0"
"Gallagher, Cam","595956","2022","29","42","47","9","13","3",27.7,6.4,".214",".333",".267","0.600","0","0","18","85.8","16.3",32.3,0,6.5,25.8,"96.084264286","92.051254643",22.4,48.9,48.4,38.7,12.9,9.7,"24.9"
"Hedges, Austin","595978","2022","29","294","338","48","78","25",23.1,7.4,".163",".248",".241","0.489","0","2","105","84.2","16.7",31.9,3.1,4.4,22.3,"94.912102385","91.52196977",27.7,47.6,41,34.9,24,11.8,"24.5"
"Lindor, Francisco","596019","2022","28","630","706","170","133","59",18.8,8.4,".270",".449",".339","0.788","6","16","161","89.3","13.8",29.2,8.3,6.2,41.3,"99.740565418","94.14308743",22.9,47.8,38.3,37.5,24.2,8.5,"27.6"
"Odor, Rougned","596059","2022","28","426","472","88","109","32",23.1,6.8,".207",".357",".275","0.632","1","6","135","87.8","21.5",30.5,6.5,5.6,33.3,"98.233676795","93.245734647",27.6,50.6,42.4,36.8,20.9,15.9,"27.1"
"Slater, Austin","596103","2022","29","277","325","73","89","40",27.4,12.3,".264",".408",".366","0.774","1","12","125","89","6.6",43.2,10.5,6.8,39.5,"99.908713548","94.170847514",31.5,45.2,31.1,42.6,26.3,1.6,"28.2"
"Story, Trevor","596115","2022","29","357","396","85","122","32",30.8,8.1,".238",".434",".303","0.737","0","13","94","88.9","17.8",36,11.3,7.1,40.6,"100.613635333","94.400984812",30.8,49.8,38.5,36.4,25.1,11.7,"28.4"
"Stubbs, Garrett","596117","2022","29","106","121","28","30","14",24.8,11.6,".264",".462",".350","0.812","0","2","46","85.2","15.2",33.8,5.2,5.2,27.3,"96.098752571","92.112040145",21.2,39.2,50.6,36.4,13,10.4,"27.3"
"Vogelbach, Daniel","596129","2022","29","386","461","92","114","73",24.7,15.8,".238",".433",".360","0.793","0","0","130","89.4","15.8",38.1,10.6,7.7,39.9,"99.817658603","94.085066691",20.4,32.2,40.7,35.5,23.8,7.3,"24.0"
"Sánchez, Gary","596142","2022","29","419","471","86","136","40",28.9,8.5,".205",".377",".282","0.659","0","2","128","90.5","14",29.2,13.5,5.9,49.3,"103.200555347","96.181078537",30.8,44,47.9,29.2,22.9,8,"25.2"
"Kepler, Max","596146","2022","29","388","446","88","66","49",14.8,11,".227",".348",".318","0.666","2","3","115","89.1","11.2",31.9,7.1,5.2,39.9,"100.09058546","94.217393221",20,46.1,41.7,34.4,23.9,5.5,"27.8"
